111JIM     444000050000100000105
112BETH    555000040000125000205
168CLAIRE  666000030000150000155
221TOM     066000100000300000200
310SALLY   207000090000400000205
311GERRY   017999002000006000055
390CINDY   033751001000002000195
445SAMMY   055000013000015000105
492HARVEY  995001000500000750170
523PHIL    205002000999002000195
600WILLIAM 099003000075000950085
617WANDA   099006000800001000080
684GEORGE  084564010000020000075
698IRVING  024567000300000900070
700ROSEMARY000999000075000200295
715LARRY   009999009750019750055
753RONNIE  999999099999999999999
776MARK    994999000401000900080
811ERIC    994998000300000400090
818BOB     000002000010000900495
852FRANKIE 099999000001001000015
875DAVID   088888000080000800085
966MARIO   075997020000030000235
972NANCY   765432200000400000225
991WAYNE   115998000999002000230
994CHRIS   275000060000080000170
